,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score
KWEB,country,2026-09-04,754.0000,26.0500,-0.3564,0.0259,-1.3966,-0.1349,-0.0245,-0.0595,-0.2747,-0.4712,-0.0229,0.2552,473568635.7443,0.5537,-0.1105,-0.0929,5.0113,0.0905,True,False,0.0569
SLV,gold/silver,2026-09-04,754.0000,59.8200,-0.4335,0.0639,-1.0236,-0.0842,0.0681,-0.0754,-0.3638,0.4202,-0.0462,0.4235,1015115481.3575,0.7653,-0.1834,-0.1576,4.1731,0.0545,True,False,0.0569
TAN,clean,2026-09-04,754.0000,48.0400,-0.3502,0.0830,-0.9152,-0.1280,-0.0766,-0.2969,-0.2499,-0.0564,-0.0260,0.3827,41039690.8302,0.5389,-0.1657,-0.0246,3.2525,0.0604,True,False,0.1057
REMX,metals,2026-09-04,754.0000,75.6600,-0.3092,0.2313,-0.6891,-0.1214,-0.0080,-0.1929,-0.3339,0.0967,-0.0630,0.4487,43908948.4966,0.4477,-0.1943,-0.1463,2.3038,0.0515,True,False,0.1301
SHLD,defense,2026-09-04,747.0000,62.9800,-0.1902,0.0398,-0.6945,-0.0729,-0.0220,-0.0448,-0.3336,-0.1769,-0.0613,0.2738,50318332.0451,0.2348,-0.1186,-0.0789,1.9804,0.0843,True,False,0.1545
NLR,nuclear,2026-09-04,754.0000,119.9500,-0.2702,0.0735,-0.6834,-0.0822,0.0504,-0.0646,-0.2696,-0.1599,0.0001,0.3954,41172272.0371,0.3703,-0.1712,-0.1438,2.1628,0.0584,True,True,0.1870
URNM,nuclear,2026-09-04,754.0000,57.0700,-0.3205,0.1769,-0.7014,-0.0594,0.0720,-0.0146,-0.2594,-0.0450,-0.0192,0.4570,40402309.7564,0.4717,-0.1979,-0.1742,2.3839,0.0505,True,False,0.1870
UFO,space,2026-09-04,754.0000,43.7000,-0.3547,0.0136,-0.8923,-0.0599,-0.0485,-0.2472,-0.1685,0.1216,-0.0483,0.3975,10611594.2393,0.5497,-0.1721,-0.0217,3.1935,0.0581,True,False,0.2358
GLD,gold/silver,2026-09-04,754.0000,406.7700,-0.1797,0.0776,-0.6977,-0.0209,0.0460,-0.0204,-0.2925,0.0455,-0.0392,0.2576,4982002209.1393,0.2191,-0.1116,-0.1028,1.9643,0.0896,True,False,0.2602
PBW,clean,2026-09-04,754.0000,31.7900,-0.3196,0.3320,-0.7291,-0.0819,-0.0612,-0.2629,-0.1144,0.0959,-0.0451,0.4383,17988664.5019,0.4696,-0.1898,-0.0607,2.4745,0.0527,True,False,0.2927
ICLN,clean,2026-09-04,754.0000,17.7700,-0.2498,0.0476,-0.7692,-0.0494,-0.0292,-0.2112,-0.1293,0.0534,0.0102,0.3247,117035558.8810,0.3329,-0.1406,-0.0506,2.3680,0.0711,True,True,0.3008
XAR,defense,2026-09-04,754.0000,252.9200,-0.1476,0.0095,-0.4874,-0.0504,-0.0732,-0.1188,-0.2454,-0.0208,-0.0727,0.3029,57181099.7746,0.1732,-0.1312,-0.0107,1.3207,0.0762,True,False,0.3171
