,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
TAN,solar,2026-09-24,752.0000,43.4700,-0.4120,0.0177,-1.1134,-0.2099,-0.1247,-0.3015,-0.3962,-0.1725,-0.0894,0.3700,36696339.9246,0.7007,-0.1602,0.0000,4.3731,0.0624,True,False,0.0381,0.0381,True
REMX,rare-earth,2026-09-24,752.0000,66.9300,-0.3889,0.0573,-0.9622,-0.2226,-0.0860,-0.3107,-0.3895,-0.0597,-0.1233,0.4042,38108918.6824,0.6365,-0.1750,-0.0350,3.6363,0.0571,True,False,0.0633,0.0633,True
KWEB,china,2026-09-24,752.0000,24.6900,-0.3900,0.0164,-1.5577,-0.1625,-0.0692,-0.0328,-0.3074,-0.5308,-0.0036,0.2504,315025378.5136,0.6393,-0.1084,-0.0429,5.8970,0.0922,True,False,0.0768,0.0768,True
URNM,nuclear,2026-09-24,752.0000,49.1300,-0.4150,0.0437,-0.9094,-0.1897,-0.0769,-0.1439,-0.3752,-0.3162,-0.1378,0.4564,38498851.6111,0.7095,-0.1976,-0.0407,3.5905,0.0506,True,False,0.1078,0.1078,True
NLR,nuclear,2026-09-24,752.0000,106.2200,-0.3538,0.0082,-0.8583,-0.1824,-0.0667,-0.1596,-0.3780,-0.3854,-0.1361,0.4122,43080026.1224,0.5474,-0.1785,-0.0331,3.0673,0.0560,True,False,0.1203,0.1078,True
URA,nuclear,2026-09-24,752.0000,40.8600,-0.3389,0.0218,-0.7580,-0.1527,-0.0533,-0.1352,-0.3326,-0.3135,-0.1280,0.4472,154289627.3642,0.5127,-0.1936,-0.0817,2.6479,0.0516,True,False,0.1774,0.1078,True
XLU,utilities,2026-09-24,752.0000,39.3600,-0.1581,0.0014,-1.0536,-0.1026,-0.0884,-0.1782,-0.2955,-0.2126,-0.0766,0.1501,925928560.1341,0.1879,-0.0650,0.0000,2.8902,0.1538,True,False,0.1340,0.1340,True
ICLN,clean,2026-09-24,752.0000,16.9700,-0.2836,0.0041,-0.9649,-0.0959,-0.0494,-0.2203,-0.2512,-0.0465,-0.0577,0.2939,124870597.1589,0.3958,-0.1272,-0.0059,3.1104,0.0786,True,False,0.1595,0.1595,True
PBW,clean,2026-09-24,752.0000,29.9300,-0.3536,0.0955,-0.8803,-0.1290,-0.0715,-0.2495,-0.2380,-0.1172,-0.0397,0.4017,10574393.7629,0.5469,-0.1739,-0.0113,3.1448,0.0575,True,False,0.1782,0.1595,True
QCLN,clean,2026-09-24,752.0000,48.2400,-0.2955,0.0314,-0.7269,-0.0772,-0.0400,-0.2518,-0.1690,-0.0287,-0.0225,0.4064,5538669.7868,0.4194,-0.1760,-0.0365,2.3828,0.0568,True,False,0.3374,0.1595,True
