,wtd_rank,cause,necessity,catalyst,basket,price,wtd,veto,dip_score,dip_rank,stabilizing,theme,dd_52w,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,thin,theme_rank,bucket
XLU,1,9,10,5,9,6,7.95,False,0.13,6,False,utilities,-0.16,0.19,-0.07,0.00,2.89,0.15,False,1,watch
IGF,2,8,9,6,9,7,7.80,False,0.28,15,False,grid/infra,-0.09,0.10,-0.04,0.00,2.43,0.24,False,1,watch
UFO,3,8,6,8,6,10,7.60,False,0.18,10,True,space,-0.36,0.56,-0.12,-0.02,4.56,0.08,False,1,buy
PAVE,4,8,9,6,8,5,7.35,False,0.54,23,False,grid/infra,-0.11,0.13,-0.08,-0.01,1.64,0.13,False,2,watch
XME,5,8,9,6,7,6,7.35,False,0.49,22,False,base-metals,-0.19,0.23,-0.16,-0.10,1.46,0.06,False,1,watch
NLR,6,8,9,5,7,5,7.00,False,0.12,5,False,nuclear,-0.35,0.55,-0.18,-0.03,3.07,0.06,False,1,watch
URA,7,8,9,5,6,5,6.85,False,0.18,8,False,nuclear,-0.34,0.51,-0.19,-0.08,2.65,0.05,False,2,watch
URNM,8,8,9,5,5,5,6.70,False,0.11,4,False,nuclear,-0.41,0.71,-0.20,-0.04,3.59,0.05,False,3,watch
REMX,9,7,8,6,6,5,6.55,False,0.06,2,False,rare-earth,-0.39,0.64,-0.17,-0.04,3.64,0.06,False,1,watch
XAR,10,5,8,5,9,7,6.50,False,0.23,11,False,defense-us,-0.19,0.24,-0.12,-0.00,2.04,0.09,False,1,watch
ICLN,11,6,8,4,8,7,6.45,False,0.16,7,False,clean,-0.28,0.40,-0.13,-0.01,3.11,0.08,False,1,watch
TAN,12,8,8,4,5,6,6.45,False,0.04,1,False,solar,-0.41,0.70,-0.16,0.00,4.37,0.06,False,1,watch
INDA,13,7,6,7,7,4,6.35,False,0.31,18,False,india,-0.14,0.16,-0.05,-0.04,2.97,0.18,False,1,buy
GRID,14,8,9,6,7,6,6.35,False,0.78,25,False,grid/infra,-0.10,0.11,-0.11,-0.06,1.03,0.09,True,3,watch
IHI,15,6,9,6,6,4,6.30,False,0.29,16,False,health-other,-0.20,0.25,-0.11,-0.08,2.26,0.09,False,1,watch
PPA,16,5,8,5,6,7,6.05,False,0.32,19,False,defense-us,-0.14,0.16,-0.09,-0.00,1.84,0.11,False,2,watch
ARKX,17,8,6,8,4,7,5.85,False,0.71,24,True,space,-0.13,0.15,-0.12,-0.10,1.26,0.08,True,2,watch
PICK,18,8,9,5,7,4,5.85,False,0.80,26,False,base-metals,-0.11,0.12,-0.12,-0.08,1.04,0.08,True,2,watch
QCLN,19,6,8,4,5,6,5.85,False,0.34,20,False,clean,-0.30,0.42,-0.18,-0.04,2.38,0.06,False,2,watch
ITA,20,4,8,4,6,7,5.55,False,0.31,17,False,defense-us,-0.16,0.19,-0.09,0.00,2.04,0.11,False,3,watch
XHB,21,5,8,4,7,3,5.40,False,0.28,14,False,housing,-0.19,0.24,-0.11,-0.03,2.24,0.09,False,1,watch
ITB,22,5,8,4,6,3,5.25,False,0.28,13,False,housing,-0.21,0.27,-0.12,-0.03,2.23,0.08,False,2,watch
PBW,23,5,7,4,5,5,5.20,False,0.18,9,False,clean,-0.35,0.55,-0.17,-0.01,3.14,0.06,False,3,watch
KWEB,24,4,6,5,6,5,5.05,False,0.08,3,False,china,-0.39,0.64,-0.11,-0.04,5.90,0.09,False,1,watch
XLY,25,5,3,6,7,3,4.80,False,0.44,21,False,discretionary,-0.11,0.12,-0.08,-0.05,1.44,0.12,False,1,watch
LIT,26,3,7,4,4,5,4.45,True,0.26,12,False,lithium,-0.25,0.33,-0.11,-0.03,2.87,0.09,False,0,avoid
